tahun,kabupaten/kota,bulan,jenis_registrasi,jumlah
2020,Kepulauan Seribu,08,Pengesahan Anak,
2020,Kepulauan Seribu,09,Pengesahan Anak,
2020,Kepulauan Seribu,10,Pengesahan Anak,
2020,Kepulauan Seribu,11,Pengesahan Anak,
2020,Kepulauan Seribu,12,Pengesahan Anak,
2020,Jakarta Selatan,01,Pengesahan Anak,
2020,Jakarta Selatan,02,Pengesahan Anak,
2020,Jakarta Selatan,03,Pengesahan Anak,
2020,Jakarta Selatan,04,Pengesahan Anak,
2020,Jakarta Selatan,05,Pengesahan Anak,
2020,Jakarta Selatan,06,Pengesahan Anak,
2020,Jakarta Selatan,07,Pengesahan Anak,
2020,Jakarta Selatan,08,Pengesahan Anak,
2020,Jakarta Selatan,09,Pengesahan Anak,
2020,Jakarta Selatan,10,Pengesahan Anak,
2020,Jakarta Selatan,11,Pengesahan Anak,
2020,Jakarta Selatan,12,Pengesahan Anak,
2020,Jakarta Timur,01,Pengesahan Anak,
2020,Jakarta Timur,02,Pengesahan Anak,
2020,Jakarta Timur,03,Pengesahan Anak,
2020,Jakarta Timur,04,Pengesahan Anak,
2020,Jakarta Timur,05,Pengesahan Anak,
2020,Jakarta Timur,06,Pengesahan Anak,
2020,Jakarta Timur,07,Pengesahan Anak,
2020,Jakarta Timur,08,Pengesahan Anak,
2020,Jakarta Timur,09,Pengesahan Anak,
2020,Jakarta Timur,10,Pengesahan Anak,
2020,Jakarta Timur,11,Pengesahan Anak,
2020,Jakarta Timur,12,Pengesahan Anak,
2020,Jakarta Pusat,01,Pengesahan Anak,
2020,Jakarta Pusat,02,Pengesahan Anak,
2020,Jakarta Pusat,03,Pengesahan Anak,
2020,Jakarta Pusat,04,Pengesahan Anak,
2020,Jakarta Pusat,05,Pengesahan Anak,
2020,Jakarta Pusat,06,Pengesahan Anak,
2020,Jakarta Pusat,07,Pengesahan Anak,
2020,Jakarta Pusat,08,Pengesahan Anak,
2020,Jakarta Pusat,09,Pengesahan Anak,
2020,Jakarta Pusat,10,Pengesahan Anak,
2020,Jakarta Pusat,11,Pengesahan Anak,
2020,Jakarta Pusat,12,Pengesahan Anak,
2020,Jakarta Barat,01,Pengesahan Anak,
2020,Jakarta Barat,02,Pengesahan Anak,
2020,Jakarta Barat,03,Pengesahan Anak,
2020,Jakarta Barat,04,Pengesahan Anak,
2020,Jakarta Barat,05,Pengesahan Anak,
2020,Jakarta Barat,06,Pengesahan Anak,
2020,Jakarta Barat,07,Pengesahan Anak,
2020,Jakarta Barat,08,Pengesahan Anak,
2020,Jakarta Barat,09,Pengesahan Anak,
2020,Jakarta Barat,10,Pengesahan Anak,
2020,Jakarta Barat,11,Pengesahan Anak,
2020,Jakarta Barat,12,Pengesahan Anak,
2020,Jakarta Utara,01,Pengesahan Anak,
2020,Jakarta Utara,02,Pengesahan Anak,
2020,Jakarta Utara,03,Pengesahan Anak,
2020,Jakarta Utara,04,Pengesahan Anak,
2020,Jakarta Utara,05,Pengesahan Anak,
2020,Jakarta Utara,06,Pengesahan Anak,
2020,Jakarta Utara,07,Pengesahan Anak,
2020,Jakarta Utara,08,Pengesahan Anak,
2020,Jakarta Utara,09,Pengesahan Anak,
2020,Jakarta Utara,10,Pengesahan Anak,
2020,Jakarta Utara,11,Pengesahan Anak,
2020,Jakarta Utara,12,Pengesahan Anak,
