Type,Year,Qtr,Order Type,Proceeding_type,Petitioners_Gender,Children_Involved,Contested,Count
Petitions,2005,1,n/a,Dissolution of marriage,Unknown/Unspecified,No,,43
Petitions,2005,1,n/a,Dissolution of marriage,Unknown/Unspecified,Yes,,3
Petitions,2005,1,n/a,Judicial separation,Female,No,,60
Petitions,2005,1,n/a,Judicial separation,Female,Yes,,66
Petitions,2005,1,n/a,Judicial separation,Male,No,,30
Petitions,2005,1,n/a,Judicial separation,Male,Yes,,11
Petitions,2005,1,n/a,Nullity of marriage,Female,No,,48
Petitions,2005,1,n/a,Nullity of marriage,Female,Yes,,8
Petitions,2005,1,n/a,Nullity of marriage,Male,No,,44
Petitions,2005,1,n/a,Nullity of marriage,Male,Yes,,5
Petitions,2005,2,n/a,Dissolution of marriage,Female,No,,10626
Petitions,2005,2,n/a,Dissolution of marriage,Female,Yes,,16195
Petitions,2005,2,n/a,Dissolution of marriage,Male,No,,6256
Petitions,2005,2,n/a,Dissolution of marriage,Male,Yes,,5962
Petitions,2005,2,n/a,Dissolution of marriage,Unknown/Unspecified,No,,44
Petitions,2005,2,n/a,Dissolution of marriage,Unknown/Unspecified,Yes,,4
Petitions,2005,2,n/a,Judicial separation,Female,No,,84
Petitions,2005,2,n/a,Judicial separation,Female,Yes,,82
Petitions,2005,2,n/a,Judicial separation,Male,No,,31
Petitions,2005,2,n/a,Judicial separation,Male,Yes,,13
Petitions,2005,2,n/a,Judicial separation,Unknown/Unspecified,No,,1
Petitions,2005,2,n/a,Nullity of marriage,Female,No,,48
Petitions,2005,2,n/a,Nullity of marriage,Female,Yes,,11
Petitions,2005,2,n/a,Nullity of marriage,Male,No,,41
Petitions,2005,2,n/a,Nullity of marriage,Male,Yes,,4
Petitions,2005,3,n/a,Dissolution of marriage,Female,No,,10633
Petitions,2005,3,n/a,Dissolution of marriage,Female,Yes,,15456
Petitions,2005,3,n/a,Dissolution of marriage,Male,No,,6247
Petitions,2005,3,n/a,Dissolution of marriage,Male,Yes,,5693
Petitions,2005,3,n/a,Dissolution of marriage,Unknown/Unspecified,No,,53
Petitions,2005,3,n/a,Dissolution of marriage,Unknown/Unspecified,Yes,,3
Petitions,2005,3,n/a,Judicial separation,Female,No,,75
Petitions,2005,3,n/a,Judicial separation,Female,Yes,,63
Petitions,2005,3,n/a,Judicial separation,Male,No,,21
Petitions,2005,3,n/a,Judicial separation,Male,Yes,,10
Petitions,2005,3,n/a,Nullity of marriage,Female,No,,49
Petitions,2005,3,n/a,Nullity of marriage,Female,Yes,,11
Petitions,2005,3,n/a,Nullity of marriage,Male,No,,43
Petitions,2005,3,n/a,Nullity of marriage,Male,Yes,,5
Petitions,2005,4,n/a,Dissolution of marriage,Female,No,,9736
Petitions,2005,4,n/a,Dissolution of marriage,Female,Yes,,14693
Petitions,2005,4,n/a,Dissolution of marriage,Male,No,,5801
Petitions,2005,4,n/a,Dissolution of marriage,Male,Yes,,5425
Petitions,2005,4,n/a,Dissolution of marriage,Unknown/Unspecified,No,,40
Petitions,2005,4,n/a,Dissolution of marriage,Unknown/Unspecified,Yes,,3
Petitions,2005,4,n/a,Judicial separation,Female,No,,46
Petitions,2005,4,n/a,Judicial separation,Female,Yes,,67
Petitions,2005,4,n/a,Judicial separation,Male,No,,23
Petitions,2005,4,n/a,Judicial separation,Male,Yes,,8
Petitions,2005,4,n/a,Nullity of marriage,Female,No,,46
Petitions,2005,4,n/a,Nullity of marriage,Female,Yes,,10
Petitions,2005,4,n/a,Nullity of marriage,Male,No,,47
Petitions,2005,4,n/a,Nullity of marriage,Male,Yes,,5
Petitions,2006,1,n/a,Dissolution of marriage,Female,No,,10590
Petitions,2006,1,n/a,Dissolution of marriage,Female,Yes,,15741
Petitions,2006,1,n/a,Dissolution of marriage,Male,No,,6262
Petitions,2006,1,n/a,Dissolution of marriage,Male,Yes,,5657
Petitions,2006,1,n/a,Dissolution of marriage,Unknown/Unspecified,No,,61
Petitions,2006,1,n/a,Dissolution of marriage,Unknown/Unspecified,Yes,,5
Petitions,2006,1,n/a,Judicial separation,Female,No,,67
Petitions,2006,1,n/a,Judicial separation,Female,Yes,,76
Petitions,2006,1,n/a,Judicial separation,Male,No,,27
Petitions,2006,1,n/a,Judicial separation,Male,Yes,,8
Petitions,2006,1,n/a,Judicial separation,Unknown/Unspecified,Yes,,1
Petitions,2006,1,n/a,Nullity of marriage,Female,No,,53
Petitions,2006,1,n/a,Nullity of marriage,Female,Yes,,10
Petitions,2006,1,n/a,Nullity of marriage,Male,No,,40
Petitions,2006,1,n/a,Nullity of marriage,Male,Yes,,5
Petitions,2006,2,n/a,Dissolution of marriage,Female,No,,10051
Petitions,2006,2,n/a,Dissolution of marriage,Female,Yes,,14808
Petitions,2006,2,n/a,Dissolution of marriage,Male,No,,5946
Petitions,2006,2,n/a,Dissolution of marriage,Male,Yes,,5528
Petitions,2006,2,n/a,Dissolution of marriage,Unknown/Unspecified,No,,34
Petitions,2006,2,n/a,Dissolution of marriage,Unknown/Unspecified,Yes,,3
Petitions,2006,2,n/a,Judicial separation,Female,No,,50
Petitions,2006,2,n/a,Judicial separation,Female,Yes,,63
Petitions,2006,2,n/a,Judicial separation,Male,No,,22
Petitions,2006,2,n/a,Judicial separation,Male,Yes,,9
Petitions,2006,2,n/a,Nullity of marriage,Female,No,,49
Petitions,2006,2,n/a,Nullity of marriage,Female,Yes,,9
Petitions,2006,2,n/a,Nullity of marriage,Male,No,,36
Petitions,2006,2,n/a,Nullity of marriage,Male,Yes,,5
Petitions,2006,3,n/a,Dissolution of marriage,Female,No,,10251
Petitions,2006,3,n/a,Dissolution of marriage,Female,Yes,,15394
Petitions,2006,3,n/a,Dissolution of marriage,Male,No,,6119
Petitions,2006,3,n/a,Dissolution of marriage,Male,Yes,,5359
Petitions,2006,3,n/a,Dissolution of marriage,Unknown/Unspecified,No,,43
